ponto_especifico;ponto;mes;ano;ID;CT;CP;raios_peitoral_d;raios_peitoral_e;raios_peitoral_dif;raios_pelv_d;raios_pelv_e;raios_pelv_dif;doop_d;doop_e;doop_dif;dob_d;dob_e;dob_dif;bpeit_ppelv_d;bpeit_ppelv_e;bpeit_ppelv_dif;diam_olho_d;diam_olho_e;diam_olho_dif
6;jusante;janeiro;2023;54;10,19;8,36;13;13;0;8;8;0;1,73;1,67;0,06;1,29;1,26;0,03;1,73;1,85;-0,12;0,63;0,65;-0,02
6;jusante;janeiro;2023;55;5,24;4,18;13;12;1;8;8;0;0,89;0,83;0,06;0,71;0,72;-0,01;0,74;0,78;-0,04;0,41;0,37;0,04
6;jusante;janeiro;2023;56;6,77;5,58;14;15;-1;9;9;0;1,08;1,02;0,06;0,87;0,89;-0,02;1,18;1,16;0,02;0,44;0,43;0,01
13;montante;fevereiro;2023;57;9,6;7,96;13;13;0;8;8;0;1,35;1,35;0;1,14;1,16;-0,02;1,4;1,37;0,03;0,65;0,56;0,09
13;montante;fevereiro;2023;58;NA;4,99;12;12;0;8;8;0;0,99;0,99;0;0,81;0,82;-0,01;1,03;1,02;0,01;0,44;0,45;-0,01
13;montante;fevereiro;2023;59;7,46;6,21;13;13;0;8;8;0;1,19;1,17;0,02;0,97;0,99;-0,02;1,25;1,27;-0,02;0,52;0,51;0,01
13;montante;fevereiro;2023;60;3,48;2,79;12;12;0;8;8;0;0,63;0,59;0,04;0,48;0,48;0;0,48;0,52;-0,04;0,3;0,29;0,01
13;montante;fevereiro;2023;61;6,22;5,14;13;12;1;8;8;0;1,07;0,97;0,1;0,83;0,87;-0,04;1,03;0,95;0,08;0,43;0,45;-0,02
13;montante;fevereiro;2023;62;4,25;3,47;13;12;1;8;8;0;0,72;0,7;0,02;0,58;0,6;-0,02;0,68;0,64;0,04;0,34;0,33;0,01
13;montante;fevereiro;2023;63;5,33;4,15;13;12;1;8;8;0;1,01;0,96;0,05;0,77;0,79;-0,02;0,87;0,82;0,05;0,38;0,42;-0,04
13;montante;fevereiro;2023;64;3,49;2,73;10;10;0;8;8;0;0,67;0,66;0,01;0,51;0,53;-0,02;0,52;0,52;0;0,29;0,29;0
13;montante;fevereiro;2023;65;4,92;3,91;10;10;0;8;8;0;0,94;0,96;-0,02;0,77;0,75;0,02;0,83;0,8;0,03;0,39;0,39;0
13;montante;fevereiro;2023;66;4,37;3,45;12;12;0;8;8;0;0,8;0,79;0,01;0,69;0,69;0;0,75;0,71;0,04;0,35;0,36;-0,01
13;montante;fevereiro;2023;67;3,77;3,09;9;10;-1;8;8;0;0,76;0,72;0,04;0,6;0,59;0,01;0,64;0,62;0,02;0,3;0,31;-0,01
13;montante;fevereiro;2023;68;4,61;3,66;12;12;0;8;8;0;0,9;0,87;0,03;0,69;0,67;0,02;0,77;0,77;0;0,34;0,33;0,01
13;montante;fevereiro;2023;69;3.85;3,04;12;12;0;8;7;1;0,71;0,72;-0,01;0,59;0,58;0,01;0,56;0,61;-0,05;0,29;0,56;-0,27
13;montante;fevereiro;2023;70;5,15;4,16;13;13;0;8;8;0;0,93;0,94;-0,01;0,74;0,72;0,02;0,89;0,87;0,02;0,39;0,89;-0,5
13;montante;fevereiro;2023;71;3,56;2,69;10;10;0;8;8;0;0,69;0,69;0;0,51;0,52;-0,01;0,6;0,59;0,01;0,3;0,6;-0,3
13;montante;fevereiro;2023;72;4,66;3,77;13;13;0;8;8;0;0,88;0,9;-0,02;0,68;0,67;0,01;0,76;0,8;-0,04;0,36;0,36;0
13;montante;fevereiro;2023;73;4,46;3,46;11;11;0;8;8;0;0,85;0,84;0,01;0,68;0,69;-0,01;0,73;0,7;0,03;0,35;0,35;0
13;montante;fevereiro;2023;74;3,75;2,96;11;8;3;8;8;0;0,74;0,73;0,01;0,59;0,6;-0,01;0,57;0,6;-0,03;0,32;0,32;0
13;montante;fevereiro;2023;75;4,73;3,75;13;13;0;8;8;0;0,84;0,87;-0,03;0,74;0,7;0,04;0,84;0,85;-0,01;0,38;0,38;0
13;montante;fevereiro;2023;76;4,6;3,58;10;10;0;8;8;0;0,82;0,84;-0,02;0,72;0,7;0,02;0,71;0,71;0;0,36;0,38;-0,02
13;montante;fevereiro;2023;77;3,79;3,06;9;9;0;8;8;0;0,68;0,65;0,03;0,55;0,55;0;0,6;0,6;0;0,3;0,31;-0,01
13;montante;fevereiro;2023;78;3,57;3;11;;;;8;;0,68;0,7;-0,02;0,52;0,55;-0,03;0,6;0,57;0,03;0,32;0,32;0
13;montante;fevereiro;2023;79;3,16;2,51;6;8;-2;;;;0,62;0,6;0,02;0,52;0,53;-0,01;0,44;0,42;0,02;0,25;0,26;-0,01
13;montante;fevereiro;2023;80;3,29;2,64;10;8;2;8;8;0;0,62;0,6;0,02;0,52;0,53;-0,01;0,52;0,51;0,01;0,26;0,26;0
CANAL (jus pt 12,5);montante;Maio;2023;81;6,75;5,48;13;13;0;8;8;0;1,29;1,29;0;1,05;1,01;0,04;1,15;1,19;-0,04;0,51;0,51;0
CANAL (jus pt 12,5);montante;Maio;2023;82;6,73;5,29;14;14;0;8;8;0;1,27;1,3;-0,03;0,98;0,94;0,04;1,11;1,13;-0,02;0,5;0,48;0,02
CANAL (jus pt 12,5);montante;Maio;2023;83;4,4;3,42;13;13;0;7;8;-1;0,84;0,86;-0,02;0,69;0,69;0;0,7;0,73;-0,03;0,37;0,39;-0,02
CANAL (jus pt 12,5);montante;Maio;2023;84;4,01;3,33;12;12;0;8;8;0;0,86;0,86;0;0,65;0,65;0;0,64;0,63;0,01;0,38;0,39;-0,01
CANAL (jus pt 12,5);montante;Maio;2023;85;3,93;3,12;11;11;0;8;8;0;0,79;0,77;0,02;0,61;0,6;0,01;0,63;0,63;0;0,33;0,32;0,01
CANAL (jus pt 12,5);montante;Maio;2023;86;3,57;2,88;12;12;0;8;7;1;0,67;0,66;0,01;0,56;0,59;-0,03;0,6;0,6;0;0,31;0,31;0
CANAL (jus pt 12,5);montante;Maio;2023;87;5,28;4,21;13;13;0;8;8;0;0,97;0,98;-0,01;0,78;0,79;-0,01;0,86;0,86;0;0,42;0,43;-0,01
POÇÃO (pt 12,5);montante;Agosto;2023;88;6,28;5,31;14;14;0;8;8;0;1,3;1,32;-0,02;1,07;1,03;0,04;1,1;1,11;-0,01;0,51;0,5;0,01
POÇÃO (pt 12,5);montante;Agosto;2023;89;4,12;3,26;12;13;-1;8;8;0;0,82;0,81;0,01;0,64;0,62;0,02;0,64;0,64;0;0,34;0,36;-0,02
POÇÃO (pt 12,5);montante;Agosto;2023;90;5,86;4,69;14;14;0;8;8;0;1,16;1,16;0;0,82;0,84;-0,02;0,92;0,89;0,03;0,47;0,46;0,01
POÇÃO (pt 12,5);montante;Agosto;2023;91;4,27;3,42;11;11;0;8;8;0;0,83;0,85;-0,02;0,6;0,62;-0,02;0,72;0,71;0,01;0,35;0,37;-0,02
POÇÃO (pt 12,5);montante;Agosto;2023;92;7,46;5,83;14;14;0;8;8;0;1,39;1,4;-0,01;0,98;0,98;0;1,12;1,21;-0,09;0,52;0,54;-0,02
POÇÃO (pt 12,5);montante;Agosto;2023;93;4,23;3,42;13;13;0;8;8;0;0,83;0,85;-0,02;0,64;0,61;0,03;0,69;0,68;0,01;0,36;0,36;0
